picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : delbs,
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
Position = 248 degrees
Position = 248 degrees
Position = 248 degrees
*** Booting Zephyr OS build v4.3.0 ***
Quadrature decoder sensor test
Position = 0 degrees
Position = 232 degrees
Position = 47 degrees
Position = 214 degrees
Position = 21 degrees
Position = 206 degrees
Position = 20 degrees
Position = 50 degrees
Position = 50 degrees
Position = 50 degrees
Position = 50 degrees
Position = 50 degrees
Position = 50 degrees
Position = 50 degrees
Position = 50 degrees
Position = 50 degrees
Position = 95 degrees
Position = 277 degrees
Position = 96 degrees
Position = 264 degrees
Position = 65 degrees
Position = 244 degrees
Position = 95 degrees
Position = 95 degrees
Position = 95 degrees
Position = 95 degrees
Position = 95 degrees
Position = 95 degrees
Position = 95 degrees
Position = 95 degrees
Position = 95 degrees
Position = 320 degrees
Position = 158 degrees
Position = 327 degrees
Position = 127 degrees
Position = 303 degrees
Position = 126 degrees
Position = 174 degrees
Position = 174 degrees
Position = 174 degrees
Position = 174 degrees
Position = 174 degrees
Position = 174 degrees
Position = 174 degrees
Position = 174 degrees
Position = 174 degrees
Position = 154 degrees
Position = 312 degrees
Position = 130 degrees
Position = 307 degrees
Position = 128 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 222 degrees
Position = 310 degrees
Position = 121 degrees
Position = 294 degrees
Position = 106 degrees
Position = 276 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 280 degrees
Position = 113 degrees
Position = 282 degrees
Position = 110 degrees
Position = 267 degrees
Position = 69 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 317 degrees
Position = 269 degrees
Position = 88 degrees
Position = 279 degrees
Position = 96 degrees
Position = 273 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 48 degrees
Position = 187 degrees
Position = 351 degrees
Position = 169 degrees
Position = 334 degrees
Position = 149 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 99 degrees
Position = 30 degrees
Position = 201 degrees
Position = 13 degrees
Position = 174 degrees
Position = 342 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 132 degrees
Position = 187 degrees
Position = 359 degrees
Position = 183 degrees
Position = 1 degrees
Position = 189 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 207 degrees
Position = 30 degrees
Position = 201 degrees
Position = 10 degrees
Position = 177 degrees
Position = 346 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 243 degrees
Position = 181 degrees
Position = 353 degrees
Position = 188 degrees
Position = 1 degrees
Position = 196 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 322 degrees
Position = 30 degrees
Position = 213 degrees
Position = 21 degrees
Position = 189 degrees
Position = 358 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 9 degrees
Position = 297 degrees
Position = 121 degrees
Position = 306 degrees
Position = 139 degrees
Position = 330 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 120 degrees
Position = 159 degrees
Position = 338 degrees
Position = 145 degrees
Position = 316 degrees
Position = 117 degrees
Position = 152 degrees
Position = 152 degrees

Terminating...
Thanks for using picocom
